crime,number,date,location,beat,neighborhood,npu,lat,long
431,AUTO THEFT,103001522,10/27/2010,2125 JOSEPH E BOONE BLVD NW,108,Center Hill,J,33.76479,-84.4579
432,AGG ASSAULT,103001524,10/27/2010,551 PONCE DE LEON AVE NE,603,Old Fourth Ward,M,33.77326,-84.36889
433,BURGLARY-RESIDENCE,103001532,10/27/2010,1750 COMMERCE DR NW,204,Berkeley Park,D,33.80174,-84.41093
434,LARCENY-NON VEHICLE,103001541,10/27/2010,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212
435,BURGLARY-NONRES,103001582,10/27/2010,1435 DONALD LEE HOLLOWELL PKWY NW,110,Grove Park,J,33.77179,-84.43521
436,AUTO THEFT,103001600,10/27/2010,2909 CAMPBELLTON RD SW,409,Southwest,R,33.69869,-84.48265
437,LARCENY-NON VEHICLE,103001666,10/27/2010,3393 PEACHTREE RD,210,Lenox,B,33.84676,-84.36212
438,AUTO THEFT,103001684,10/27/2010,1380 ATLANTIC DR NW,501,Atlantic Station,E,33.79282,-84.39779
439,LARCENY-FROM VEHICLE,103001697,10/27/2010,80 JESSE HILL JR DR SE,510,Downtown,M,33.75168,-84.38198
440,BURGLARY-RESIDENCE,103001710,10/27/2010,528 WINTON TER NE  ,603,Old Fourth Ward,M,33.76861,-84.36994
441,LARCENY-NON VEHICLE,103001740,10/27/2010,80 JESSE HILL JR DR SE ,510,Downtown,M,33.75168,-84.38198
442,LARCENY-FROM VEHICLE,103001812,10/27/2010,825 MARTIN L KING JR DR NW,102,Vine City,L,33.75488,-84.41378
443,BURGLARY-RESIDENCE,103001827,10/27/2010,2110 SOUTHWOOD LN SW;,412,Ben Hill Terrace,P,33.69643,-84.51885
444,LARCENY-NON VEHICLE,103001871,10/27/2010,607 PEACHTREE ST NE,509,Downtown,M,33.77096,-84.3844
445,BURGLARY-RESIDENCE,103001889,10/27/2010,717 LEE ST SW,401,West End,T,33.73516,-84.41421
446,LARCENY-NON VEHICLE,103002046,10/27/2010,116 PONCE DE LEON AVE NE,505,Midtown,E,33.77248,-84.38382
447,LARCENY-FROM VEHICLE,103002053,10/27/2010,MONROE DR NE / KANUGA ST NE,601,Virginia Highland,F,33.78234,-84.36813
448,LARCENY-NON VEHICLE,103002079,10/27/2010,695 NORTH AVE NE,603,Old Fourth Ward,M,33.77073,-84.3645
449,BURGLARY-RESIDENCE,103002087,10/27/2010,979 REDFORD DR SE,308,Rebel Valley Forest,Z,33.68834,-84.35784
450,LARCENY-FROM VEHICLE,103002094,10/27/2010,889 PARSONS ST SW,101,Atlanta University Center,T,33.75099,-84.41669
451,LARCENY-FROM VEHICLE,103002095,10/27/2010,180 JACKSON ST NE ,604,Sweet Auburn,M,33.75929,-84.37628
452,LARCENY-FROM VEHICLE,103002146,10/27/2010,2165 CHESHIRE BRIDGE RD NE,213,Lindridge/Martin Manor,F,33.81341,-84.35347
453,AGG ASSAULT,103002160,10/27/2010,2524 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75285,-84.47033
454,BURGLARY-RESIDENCE,103002188,10/27/2010,1035 REUNION PL SW,412,Midwest Cascade,Q,33.7254,-84.52882
455,AUTO THEFT,103002227,10/27/2010,3911 CAMPBELLTON RD SW,412,Kings Forest,P,33.69289,-84.51602
456,LARCENY-FROM VEHICLE,103002231,10/27/2010,2909 CAMPBELLTON RD SW,409,Southwest,R,33.69869,-84.48265
457,ROBBERY-PEDESTRIAN,103002266,10/27/2010,101 DOGWOOD DR NW,112,Collier Heights,I,33.78257,-84.49293
458,LARCENY-FROM VEHICLE,103002274,10/27/2010,1132 TECHWOOD DR NW,501,Home Park,E,33.7855,-84.39273
459,AUTO THEFT,103002293,10/27/2010,339 MARIETTA ST NW,508,Downtown,M,33.76464,-84.39614
460,AUTO THEFT,103002301,10/27/2010,192 DEGRESS AVE NE,602,Inman Park,N,33.75939,-84.35245
461,LARCENY-FROM VEHICLE,103002325,10/27/2010,250 PHARR RD NE,206,Buckhead Village,B,33.83732,-84.3786
462,BURGLARY-RESIDENCE,103002334,10/27/2010,2190 JERNIGAN DR SE,310,Lakewood,Z,33.69436,-84.37217
463,LARCENY-FROM VEHICLE,103002337,10/27/2010,855 PEACHTREE ST NE,505,Midtown,E,33.77798,-84.38389
464,AGG ASSAULT,103002352,10/27/2010,3040 GRAND AVE SW,311,Hammond Park,X,33.67413,-84.40636
465,LARCENY-FROM VEHICLE,103002374,10/27/2010,700 CYPRESS ST NE,505,Midtown,E,33.77394,-84.3863
466,LARCENY-FROM VEHICLE,103002380,10/27/2010,1000 MARIETTA ST NW,504,Marietta Street Artery,E,33.77914,-84.41116
467,LARCENY-NON VEHICLE,103002391,10/27/2010,2909 CAMPBELLTON RD SW,409,Southwest,R,33.69869,-84.48265
468,LARCENY-FROM VEHICLE,103002393,10/27/2010,788 MARIETTA ST NW,504,Marietta Street Artery,E,33.77347,-84.40449
469,LARCENY-FROM VEHICLE,103002398,10/27/2010,17 COURTLAND ST NE,510,Downtown,M,33.75495,-84.38417
470,AGG ASSAULT,103002402,10/27/2010,987 ASHBY GRV SW,104,Ashview Heights,T,33.75009,-84.41985
471,LARCENY-NON VEHICLE,103008011,10/27/2010,S TERM @6000 S TERMINAL PKWY,50,,,33.63915,-84.44264
472,AUTO THEFT,103008050,10/27/2010,NATIONAL S DECK @2250 RENTAL CAR CENTER PKWY,707,,,33.63978,-84.46221
473,AGG ASSAULT,103000051,10/27/2010,SAINT JAMES AVE NW / 1ST ST NW,109,Carey Park,G,33.78592,-84.46697
474,AGG ASSAULT,103000078,10/27/2010,1673 MARTIN L KING JR DR NW,104,Mozley Park,K,33.75179,-84.44189
475,BURGLARY-NONRES,103000084,10/27/2010,1575 JOSEPH E BOONE BLVD NW,107,Grove Park,J,33.76391,-84.43929
476,LARCENY-FROM VEHICLE,103000110,10/27/2010,100 LUCKIE ST NW / CONE ST NW,508,Downtown,M,33.75786,-84.39012
477,AGG ASSAULT,103000131,10/27/2010,2315 CAMPBELLTON RD SW,409,Adams Park,R,33.70466,-84.46315
478,ROBBERY-PEDESTRIAN,103000135,10/27/2010,1187 WESTVIEW DR SW,104,Ashview Heights,T,33.7475,-84.42651
479,LARCENY-FROM VEHICLE,103000189,10/27/2010,935 MARIETTA ST NW,504,Marietta Street Artery,E,33.77795,-84.40849
480,AGG ASSAULT,103000272,10/27/2010,1029 MCDANIEL ST SW,302,Pittsburgh,V,33.72678,-84.4018
481,LARCENY-FROM VEHICLE,103000287,10/27/2010,191 PEACHTREE CENTER AVE NE,510,Downtown,M,33.75945,-84.38595
482,AUTO THEFT,103000310,10/27/2010,559 GRANT ST SE,605,Grant Park,W,33.73932,-84.37659
483,BURGLARY-RESIDENCE,103000312,10/27/2010,405 FAIRBURN RD SW,407,Wildwood (NPU-H),H,33.74347,-84.5145
484,AGG ASSAULT,103000373,10/27/2010,367 BELGARDE PL SE,312,Orchard Knob,Z,33.66441,-84.37791
485,AGG ASSAULT,103000430,10/27/2010,1135 OAKLAND LN SW,403,Oakland City,S,33.71965,-84.42493
486,ROBBERY-PEDESTRIAN,103000449,10/27/2010,3781 MARTIN L KING JR DR SW,114,Old Gordon,H,33.76797,-84.51322
487,LARCENY-FROM VEHICLE,103000494,10/27/2010,1108 MONTREAT AVE.,402,Oakland City,S,33.72936,-84.424
488,ROBBERY-PEDESTRIAN,103000495,10/27/2010,1133 MCDANIEL ST SW,302,Pittsburgh,V,33.72398,-84.40185
489,ROBBERY-PEDESTRIAN,103000500,10/27/2010,1668 EASTLAND RD SE,612,East Atlanta,W,33.71898,-84.33038
490,LARCENY-FROM VEHICLE,103000508,10/27/2010,2300 MACON DR SW;,310,Swallow Circle/Baywood,Z,33.69163,-84.39097
491,AUTO THEFT,103000516,10/27/2010,370 NORTHSIDE DR NW,103,English Avenue,L,33.76507,-84.4042
492,ROBBERY-PEDESTRIAN,103000518,10/27/2010,MCDONOUGH BLVD SE / PARK AVE SE,305,Chosewood Park,Y,33.71384,-84.37005
493,AUTO THEFT,103000535,10/27/2010,1880 MARKONE STREET NW ,107,Grove Park,J,33.76962,-84.44847
494,AUTO THEFT,103000548,10/27/2010,3460 KINGSBORO ROAD,210,Buckhead Heights,B,33.85019,-84.35765
495,AUTO THEFT,103000560,10/27/2010,2841 GREENBRIAR PKWY SW,411,Greenbriar,R,33.68677,-84.49773
496,LARCENY-NON VEHICLE,103000568,10/27/2010,3540 N CAMP CREEK PKWY SW,414,,P,33.6681,-84.50267
497,AUTO THEFT,103000585,10/27/2010,1298 NORTH AVE NW,106,Bankhead,K,33.76778,-84.43034
498,AUTO THEFT,103000608,10/27/2010,2001 SYLVAN RD SW,306,Sylvan Hills,X,33.69981,-84.4184
